id;numero;date_facture;date_echeance;statut;notes
1;croâ;2025-05-18T03:28:48;2025-05-17T22:11:01;PAYEE;suffisamment
2;dépouiller trop lectorat;2025-05-18T12:29:13;2025-05-17T20:42:48;BROUILLON;que à moins de
3;autour de sitôt que suivant;2025-05-17T19:57:08;2025-05-18T00:45:33;BROUILLON;ronfler membre du personnel
4;fort;2025-05-18T12:28:51;2025-05-18T11:29:59;ENVOYEE;à l'insu de
5;vers quoique;2025-05-18T03:07:45;2025-05-18T16:26:16;PAYEE;pendant assez lunatique
6;proche prestataire de services sitôt que;2025-05-18T02:08:44;2025-05-18T15:54:09;PAYEE;dorénavant tic-tac
7;athlète;2025-05-18T17:20:15;2025-05-18T08:42:17;ENVOYEE;membre à vie toc
8;corps enseignant;2025-05-17T20:31:40;2025-05-18T09:07:52;BROUILLON;outre de façon à ce que trop
9;horrible;2025-05-17T21:05:18;2025-05-18T00:25:44;ANNULEE;de manière à
10;lutter céder;2025-05-18T18:20:15;2025-05-18T12:22:04;ENVOYEE;sage
